,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
22708,2020-01-03,BR,Brazil,AMRO,0,0,0,0
22709,2020-01-04,BR,Brazil,AMRO,0,0,0,0
22710,2020-01-05,BR,Brazil,AMRO,0,0,0,0
22711,2020-01-06,BR,Brazil,AMRO,0,0,0,0
22712,2020-01-07,BR,Brazil,AMRO,0,0,0,0
22713,2020-01-08,BR,Brazil,AMRO,0,0,0,0
22714,2020-01-09,BR,Brazil,AMRO,0,0,0,0
22715,2020-01-10,BR,Brazil,AMRO,0,0,0,0
22716,2020-01-11,BR,Brazil,AMRO,0,0,0,0
22717,2020-01-12,BR,Brazil,AMRO,0,0,0,0
22718,2020-01-13,BR,Brazil,AMRO,0,0,0,0
22719,2020-01-14,BR,Brazil,AMRO,0,0,0,0
22720,2020-01-15,BR,Brazil,AMRO,0,0,0,0
22721,2020-01-16,BR,Brazil,AMRO,0,0,0,0
22722,2020-01-17,BR,Brazil,AMRO,0,0,0,0
22723,2020-01-18,BR,Brazil,AMRO,0,0,0,0
22724,2020-01-19,BR,Brazil,AMRO,0,0,0,0
22725,2020-01-20,BR,Brazil,AMRO,0,0,0,0
22726,2020-01-21,BR,Brazil,AMRO,0,0,0,0
22727,2020-01-22,BR,Brazil,AMRO,0,0,0,0
22728,2020-01-23,BR,Brazil,AMRO,0,0,0,0
22729,2020-01-24,BR,Brazil,AMRO,0,0,0,0
22730,2020-01-25,BR,Brazil,AMRO,0,0,0,0
22731,2020-01-26,BR,Brazil,AMRO,0,0,0,0
22732,2020-01-27,BR,Brazil,AMRO,0,0,0,0
22733,2020-01-28,BR,Brazil,AMRO,0,0,0,0
22734,2020-01-29,BR,Brazil,AMRO,0,0,0,0
22735,2020-01-30,BR,Brazil,AMRO,0,0,0,0
22736,2020-01-31,BR,Brazil,AMRO,0,0,0,0
22737,2020-02-01,BR,Brazil,AMRO,0,0,0,0
22738,2020-02-02,BR,Brazil,AMRO,0,0,0,0
22739,2020-02-03,BR,Brazil,AMRO,0,0,0,0
22740,2020-02-04,BR,Brazil,AMRO,0,0,0,0
22741,2020-02-05,BR,Brazil,AMRO,0,0,0,0
22742,2020-02-06,BR,Brazil,AMRO,0,0,0,0
22743,2020-02-07,BR,Brazil,AMRO,0,0,0,0
22744,2020-02-08,BR,Brazil,AMRO,0,0,0,0
22745,2020-02-09,BR,Brazil,AMRO,0,0,0,0
22746,2020-02-10,BR,Brazil,AMRO,0,0,0,0
22747,2020-02-11,BR,Brazil,AMRO,0,0,0,0
22748,2020-02-12,BR,Brazil,AMRO,0,0,0,0
22749,2020-02-13,BR,Brazil,AMRO,0,0,0,0
22750,2020-02-14,BR,Brazil,AMRO,0,0,0,0
22751,2020-02-15,BR,Brazil,AMRO,0,0,0,0
22752,2020-02-16,BR,Brazil,AMRO,0,0,0,0
22753,2020-02-17,BR,Brazil,AMRO,0,0,0,0
22754,2020-02-18,BR,Brazil,AMRO,0,0,0,0
22755,2020-02-19,BR,Brazil,AMRO,0,0,0,0
22756,2020-02-20,BR,Brazil,AMRO,0,0,0,0
22757,2020-02-21,BR,Brazil,AMRO,0,0,0,0
22758,2020-02-22,BR,Brazil,AMRO,0,0,0,0
22759,2020-02-23,BR,Brazil,AMRO,0,0,0,0
22760,2020-02-24,BR,Brazil,AMRO,0,0,0,0
22761,2020-02-25,BR,Brazil,AMRO,0,0,0,0
22762,2020-02-26,BR,Brazil,AMRO,5,5,0,0
22763,2020-02-27,BR,Brazil,AMRO,0,5,0,0
22764,2020-02-28,BR,Brazil,AMRO,0,5,0,0
22765,2020-02-29,BR,Brazil,AMRO,0,5,0,0
22766,2020-03-01,BR,Brazil,AMRO,1,6,0,0
22767,2020-03-02,BR,Brazil,AMRO,0,6,0,0
22768,2020-03-03,BR,Brazil,AMRO,0,6,0,0
22769,2020-03-04,BR,Brazil,AMRO,1,7,0,0
22770,2020-03-05,BR,Brazil,AMRO,4,11,0,0
22771,2020-03-06,BR,Brazil,AMRO,1,12,0,0
22772,2020-03-07,BR,Brazil,AMRO,5,17,0,0
22773,2020-03-08,BR,Brazil,AMRO,6,23,0,0
22774,2020-03-09,BR,Brazil,AMRO,6,29,0,0
22775,2020-03-10,BR,Brazil,AMRO,0,29,0,0
22776,2020-03-11,BR,Brazil,AMRO,9,38,0,0
22777,2020-03-12,BR,Brazil,AMRO,18,56,0,0
22778,2020-03-13,BR,Brazil,AMRO,25,81,0,0
22779,2020-03-14,BR,Brazil,AMRO,44,125,0,0
22780,2020-03-15,BR,Brazil,AMRO,0,125,0,0
22781,2020-03-16,BR,Brazil,AMRO,79,204,0,0
22782,2020-03-17,BR,Brazil,AMRO,34,238,0,0
22783,2020-03-18,BR,Brazil,AMRO,57,295,1,1
22784,2020-03-19,BR,Brazil,AMRO,133,428,3,4
22785,2020-03-20,BR,Brazil,AMRO,193,621,0,4
22786,2020-03-21,BR,Brazil,AMRO,283,904,7,11
22787,2020-03-22,BR,Brazil,AMRO,0,904,0,11
22788,2020-03-23,BR,Brazil,AMRO,0,904,0,11
22789,2020-03-24,BR,Brazil,AMRO,642,1546,14,25
22790,2020-03-25,BR,Brazil,AMRO,655,2201,21,46
